Duration mean, 1.65625, std dev, 0.6070833333333333
Rel slew mean, 0.07364565297294515, std dev, 0.024499397358367363
Rel wait mean, 0.0, std dev, 0.0
Rel obs mean, 0.9263543470270549, std dev, 0.024499397358367397
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 1.2241666666666668, 0.11694444444444445, 0.0, 1.1072222222222223, 0.09552983889267075, 0.0, 0.9044701611073293, 2, 1, 1, 3, 5, 0, 0, 1, 
1, 0.8741666666666666, 0.08694444444444444, 0.0, 0.7872222222222223, 0.09945980298697171, 0.0, 0.9005401970130282, 1, 8, 3, 0, 5, 0, 0, 2, 
2, 1.6752777777777776, 0.12555555555555556, 0.0, 1.549722222222222, 0.0749461117559277, 0.0, 0.9250538882440723, 2, 3, 1, 1, 6, 0, 0, 0, 
3, 2.851388888888889, 0.07027777777777777, 0.0, 2.781111111111111, 0.024646858256210425, 0.0, 0.9753531417437896, 1, 7, 1, 1, 5, 0, 1, 1, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
