Duration mean, 15.223055555555556, std dev, 0.6552777777777781
Rel slew mean, 0.027099837064460605, std dev, 0.0026080418158688865
Rel wait mean, 0.34391745583168776, std dev, 0.04760138535651423
Rel obs mean, 0.6289827071038516, std dev, 0.044993343540645325
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 15.878333333333334, 0.3888888888888889, 6.216666666666667, 9.272777777777778, 0.02449179524859172, 0.39151884118820196, 0.5839893635632063, 4, 2, 25, 11, 31, 5, 6, 9, 
1, 14.567777777777778, 0.4327777777777778, 4.316666666666666, 9.818333333333333, 0.029707878880329493, 0.2963160704751735, 0.673976050644497, 3, 1, 12, 6, 30, 2, 0, 3, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
