Duration mean, 28.508777777777777, std dev, 1.907822222222221
Rel slew mean, 0.02226662274455566, std dev, 0.010375064380469543
Rel wait mean, 0.49589740060193366, std dev, 0.1450472952086826
Rel obs mean, 0.48183597665351074, std dev, 0.15086848894711052
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 27.313333333333333, 0.3333333333333333, 13.333333333333334, 13.646666666666667, 0.0122040517451794, 0.48816206980717597, 0.4996338784476446, 2, 7, 17, 8, 37, 2, 8, 3, 
1, 33.27833333333333, 0.6225, 6.716666666666667, 25.939166666666665, 0.01870586467671658, 0.20183302449040919, 0.7794611108328743, 5, 1, 33, 16, 54, 5, 4, 8, 
2, 27.325833333333332, 1.3172222222222223, 14.133333333333333, 11.875277777777779, 0.048204283695729516, 0.5172150895062669, 0.4345806267980035, 4, 1, 25, 14, 36, 4, 10, 1, 
3, 27.313055555555557, 0.5827777777777777, 11.883333333333333, 14.846944444444444, 0.02133696746570118, 0.4350788694865093, 0.5435841630477896, 3, 4, 25, 20, 48, 6, 17, 4, 
4, 27.313333333333333, 0.2972222222222222, 22.866666666666667, 4.149444444444445, 0.01088194613945163, 0.8371979497193068, 0.15192010414124155, 4, 1, 8, 3, 11, 0, 1, 1, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
