Duration mean, 29.283125000000002, std dev, 2.20951388888889
Rel slew mean, 0.02399874855847875, std dev, 0.0037095213055505904
Rel wait mean, 0.38503111071826013, std dev, 0.08775518583041128
Rel obs mean, 0.5909701407232612, std dev, 0.08535407057471435
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 30.741666666666667, 0.9030555555555556, 7.583333333333333, 22.255277777777778, 0.029375621216228425, 0.24667931688804554, 0.723945061895726, 5, 1, 32, 17, 55, 6, 8, 3, 
1, 32.243611111111115, 0.7552777777777778, 11.216666666666667, 20.271666666666665, 0.02342410641212299, 0.3478725328876522, 0.6287033607002248, 4, 3, 36, 20, 57, 4, 24, 6, 
2, 27.074444444444445, 0.46444444444444444, 11.75, 14.86, 0.017154348093733326, 0.43398859112734434, 0.5488570607789223, 3, 3, 33, 11, 50, 6, 22, 3, 
3, 27.072777777777777, 0.705, 13.85, 12.517777777777779, 0.02604091851183025, 0.5115840019699985, 0.4623750795181712, 4, 1, 20, 9, 35, 0, 10, 2, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
