Duration mean, 31.944444444444443, std dev, 0.014629629629628957
Rel slew mean, 0.04225177795083332, std dev, 6.529291193936466E-4
Rel wait mean, 0.31318311107858726, std dev, 0.057972301727208055
Rel obs mean, 0.6445651109705794, std dev, 0.05852334346211496
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 31.941944444444445, 1.3447222222222222, 10.41388888888889, 20.183333333333334, 0.04209894687410319, 0.3260255150403075, 0.6318755380855893, 4, 1, 38, 17, 44, 6, 0, 2, 
1, 31.96638888888889, 1.3819444444444444, 12.380555555555556, 18.203888888888887, 0.04323117162992379, 0.3872991597076791, 0.5694696686623971, 2, 7, 27, 15, 59, 2, 0, 7, 
2, 31.925, 1.3225, 7.222222222222222, 23.380277777777778, 0.04142521534847298, 0.22622465848777518, 0.7323501261637518, 3, 1, 32, 18, 62, 2, 1, 3, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
