Duration mean, 29.01770833333333, std dev, 2.8232291666666667
Rel slew mean, 0.02377486192547167, std dev, 0.0063190102068997975
Rel wait mean, 0.3423432356336035, std dev, 0.06590484855641966
Rel obs mean, 0.6338819024409248, std dev, 0.0682248613849134
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 27.136388888888888, 0.5972222222222222, 8.866666666666667, 17.6725, 0.02200816861328065, 0.32674453122600855, 0.6512473001607109, 2, 3, 24, 15, 37, 2, 4, 2, 
1, 27.13611111111111, 0.5588888888888889, 12.866666666666667, 13.710555555555555, 0.020595762104616645, 0.4741529327464428, 0.5052513051489406, 4, 2, 27, 11, 44, 1, 11, 3, 
2, 27.134166666666665, 0.4363888888888889, 6.266666666666667, 20.43111111111111, 0.016082634644718118, 0.2309511378643162, 0.7529662274909656, 2, 10, 30, 9, 38, 1, 15, 5, 
3, 34.66416666666667, 1.2622222222222221, 11.7, 21.701944444444443, 0.036412882339271264, 0.3375243406976465, 0.6260627769630823, 5, 1, 39, 26, 69, 2, 22, 10, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
