Duration mean, 10.340069444444445, std dev, 0.21815972222222246
Rel slew mean, 0.013169404522293475, std dev, 0.00293612721147895
Rel wait mean, 0.4903455925560085, std dev, 0.06396837552642927
Rel obs mean, 0.49648500292169806, std dev, 0.06103224831495033
No, Duration, Slew time, Wait time, Obs time, Rel slew, Rel wait, Rel obs, Max attempts, Times max att, Obs result 1, Obs result 2, Obs result 3, Obs result 4, Interruption 1, Interruption 2 
0, 10.77638888888889, 0.18333333333333332, 5.033333333333333, 5.559722222222222, 0.01701250161103235, 0.4670704987756154, 0.5159169996133522, 4, 1, 7, 8, 20, 1, 1, 7, 
1, 10.1925, 0.10305555555555557, 5.616666666666667, 4.472777777777778, 0.010110920339029243, 0.55105878505437, 0.4388302946066007, 4, 1, 12, 2, 16, 1, 0, 5, 
2, 10.198333333333334, 0.155, 3.9333333333333336, 6.109999999999999, 0.015198561856512503, 0.38568393528354306, 0.5991175028599445, 3, 2, 10, 4, 17, 1, 2, 2, 
3, 10.193055555555556, 0.10555555555555556, 5.683333333333334, 4.404166666666667, 0.010355634282599809, 0.5575691511105055, 0.4320752146068947, 3, 1, 9, 2, 16, 3, 0, 8, 

Obs result 1, Max scintillation; shortened observation
Obs result 2, Normal scintillation.
Obs result 3, Short timescale; repeated check of scintillation.
Obs result 4, Weak scintillation; aborted.

Interruption 1, Object set.
Interruption 2, Interference from satellite.
